Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
10/07/1997,8.0476,8.0476,8.0476,8.0476,7190075
11/07/1997,8.219,8.219,8.219,8.219,4547878
14/07/1997,7.3994,7.3994,7.3994,7.3994,1162876
15/07/1997,6.6816,6.6816,6.6816,6.6816,2430180
16/07/1997,7.3298,7.3298,7.3298,7.3298,1666283
17/07/1997,7.4689,7.5336,7.4689,7.5336,2245946
18/07/1997,7.3623,7.3623,7.1261,7.1585,780890
21/07/1997,7.3623,7.3623,7.2975,7.3623,1068518
22/07/1997,7.3623,7.4689,7.3623,7.3994,692807
23/07/1997,7.4317,7.4317,7.228,7.2975,594085
24/07/1997,7.3623,7.3623,7.2975,7.2975,724049
25/07/1997,7.3298,7.3298,7.2604,7.2604,577889
28/07/1997,7.1956,7.1956,7.0892,7.0892,602391
29/07/1997,7.0243,7.1956,7.0243,7.1261,344772
30/07/1997,7.1261,7.3623,7.1261,7.2975,384292
31/07/1997,7.2604,7.2604,7.0892,7.1261,382121
01/08/1997,7.1261,7.2604,7.1261,7.1261,285185
04/08/1997,7.1956,7.2604,7.1956,7.228,404470
05/08/1997,7.2604,7.3623,7.2604,7.3623,598068
06/08/1997,7.3623,7.3623,7.2604,7.2975,437194
07/08/1997,7.3298,7.8113,7.3298,7.7744,547019
08/08/1997,7.6726,8.219,7.6726,8.0152,1082742
11/08/1997,7.8764,7.8764,7.6402,7.6726,778290
12/08/1997,7.6402,7.8764,7.6402,7.7744,643519
13/08/1997,7.8764,7.8764,7.8764,7.8764,862546
14/08/1997,7.6031,7.705,7.5708,7.6031,373983
18/08/1997,7.5012,7.5012,7.2975,7.3623,359568
19/08/1997,7.6031,7.8764,7.6031,7.7421,672661
20/08/1997,7.8113,7.8113,7.6726,7.705,659415
21/08/1997,7.5336,7.5336,7.4689,7.4689,228506
22/08/1997,7.4317,7.6031,7.4317,7.5708,218981
25/08/1997,7.4689,7.5708,7.3623,7.3623,205096
26/08/1997,7.3623,7.5012,7.3623,7.4317,239239
27/08/1997,7.4317,7.5012,7.4317,7.4689,224860
