Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
02/06/1998,11.545,11.545,11.545,11.545,530505
03/06/1998,12.684,12.684,12.684,12.684,203369
04/06/1998,13.823,13.823,13.823,13.823,602301
05/06/1998,13.99,13.99,13.99,13.99,231490
08/06/1998,13.933,13.933,13.933,13.933,130218
09/06/1998,13.363,13.363,13.363,13.363,89946
10/06/1998,12.283,12.283,12.283,12.283,179700
15/06/1998,11.545,11.545,11.545,11.545,297110
16/06/1998,11.946,11.946,11.946,11.946,245776
17/06/1998,13.08,13.08,13.08,13.08,151237
18/06/1998,13.305,13.305,13.305,13.305,130802
19/06/1998,13.194,13.194,13.194,13.194,178907
22/06/1998,13.538,13.538,13.538,13.538,256057
23/06/1998,13.933,13.933,13.933,13.933,246025
24/06/1998,13.933,13.933,13.933,13.933,87467
25/06/1998,13.933,13.933,13.933,13.933,99872
26/06/1998,14.385,14.385,14.385,14.385,363343
29/06/1998,14.672,14.672,14.672,14.672,165326
30/06/1998,14.788,14.788,14.788,14.788,148136
01/07/1998,15.525,15.525,15.525,15.525,192300
02/07/1998,15.81,15.81,15.81,15.81,163209
03/07/1998,16.21,16.21,16.21,16.21,171600
06/07/1998,16.775,16.775,16.775,16.775,196359
07/07/1998,17.234,17.234,17.234,17.234,379832
08/07/1998,17.059,17.059,17.059,17.059,118201
09/07/1998,16.21,16.21,16.21,16.21,263920
10/07/1998,16.21,16.21,16.21,16.21,114540
13/07/1998,17.344,17.344,17.344,17.344,46985
14/07/1998,18.651,18.651,18.651,18.651,234021
15/07/1998,18.651,18.651,18.651,18.651,140942
16/07/1998,18.482,18.482,18.482,18.482,90097
17/07/1998,18.936,18.936,18.936,18.936,156233
20/07/1998,18.482,19.79,18.482,19.621,138073
21/07/1998,19.79,19.79,19.221,19.337,201737
22/07/1998,18.936,18.936,18.482,18.651,170612
23/07/1998,18.768,19.79,18.768,19.506,156747
24/07/1998,19.052,19.621,19.052,19.337,146175
27/07/1998,19.221,19.221,18.198,18.372,131516
28/07/1998,18.482,18.482,17.913,18.089,187493
29/07/1998,17.629,18.089,17.234,18.089,207006
30/07/1998,18.198,18.651,17.913,18.089,101803
31/07/1998,18.651,18.651,18.198,18.372,109353
03/08/1998,17.913,18.198,17.802,18.089,341458
04/08/1998,18.198,19.052,18.198,19.052,122162
05/08/1998,18.482,19.052,18.482,18.768,178227
06/08/1998,19.337,19.79,18.936,19.052,173435
07/08/1998,19.621,20.476,19.337,20.476,219785
10/08/1998,19.905,20.476,19.905,20.19,160488
11/08/1998,19.506,19.506,18.089,18.372,265094
12/08/1998,19.337,19.506,18.651,19.052,244052
13/08/1998,18.198,18.198,17.518,17.913,285101
14/08/1998,18.482,19.052,18.482,18.936,108106
17/08/1998,17.913,18.198,17.802,18.089,104115
18/08/1998,18.768,19.052,18.768,18.768,128366
19/08/1998,19.506,19.506,18.768,19.337,181503
20/08/1998,19.221,19.337,19.052,19.221,253108
21/08/1998,18.089,18.372,17.913,18.372,181803
24/08/1998,18.768,18.768,18.372,18.372,94401
25/08/1998,19.052,19.221,18.936,18.936,160945
26/08/1998,18.372,18.372,17.913,17.913,82376
27/08/1998,17.234,17.234,15.926,15.926,125138
28/08/1998,15.525,16.38,14.956,15.926,168144
31/08/1998,16.21,16.21,15.926,16.093,216479
01/09/1998,14.788,15.641,14.788,15.357,141803
02/09/1998,16.21,16.948,16.21,16.664,210594
03/09/1998,15.926,15.926,15.239,15.239,100129
04/09/1998,15.926,16.495,15.926,16.38,217171
07/09/1998,17.234,17.518,16.664,16.948,180855
08/09/1998,17.234,17.802,17.059,17.802,192307
09/09/1998,17.059,17.059,16.495,16.664,132665
10/09/1998,16.775,17.059,16.495,16.495,242032
11/09/1998,16.21,16.38,16.21,16.21,154879
14/09/1998,16.948,17.059,16.664,16.948,84799
15/09/1998,16.948,16.948,16.38,16.38,58037
16/09/1998,16.495,16.495,16.38,16.38,88350
17/09/1998,15.641,15.641,15.072,15.072,111534
18/09/1998,15.072,15.641,15.072,15.641,61326
21/09/1998,15.357,15.357,15.072,15.072,245783
22/09/1998,15.926,16.495,15.926,16.21,111018
23/09/1998,16.948,17.234,16.948,17.059,192377
24/09/1998,18.198,18.198,17.629,17.629,131086
25/09/1998,17.344,17.518,17.059,17.344,145730
28/09/1998,17.913,18.198,17.802,18.198,93192
29/09/1998,18.936,19.337,18.768,19.221,193631
30/09/1998,18.936,18.936,18.198,18.768,132597
01/10/1998,17.913,17.913,17.344,17.629,71280
02/10/1998,17.059,17.913,17.059,17.802,79836
05/10/1998,17.802,18.198,17.629,17.629,46093
06/10/1998,17.913,18.089,17.913,18.089,64724
07/10/1998,18.482,18.482,18.198,18.198,128681
08/10/1998,18.651,18.651,18.089,18.089,108426
09/10/1998,18.482,18.482,18.089,18.482,125182
12/10/1998,19.221,19.221,18.936,19.052,86281
13/10/1998,18.768,18.768,18.651,18.651,45924
14/10/1998,18.936,18.936,18.372,18.936,23368
15/10/1998,19.337,19.337,18.768,18.768,57331
16/10/1998,19.337,19.621,19.052,19.621,39630
19/10/1998,19.621,19.621,19.052,19.052,10331
20/10/1998,19.621,20.075,19.621,20.075,153444
21/10/1998,19.905,20.359,19.79,20.359,55180
22/10/1998,20.359,21.608,20.359,21.213,53606
23/10/1998,21.329,22.177,21.329,21.329,85715
26/10/1998,21.329,21.782,21.045,21.498,85289
27/10/1998,21.608,21.608,21.045,21.498,69819
28/10/1998,21.498,22.067,21.498,22.067,88339
29/10/1998,21.608,22.177,21.608,21.893,37715
30/10/1998,21.893,22.637,21.893,22.177,30914
02/11/1998,22.747,24.17,22.747,23.6,53579
03/11/1998,23.317,23.317,23.032,23.317,85541
04/11/1998,23.77,24.34,23.77,24.34,33610
05/11/1998,24.455,24.455,23.486,23.885,103155
06/11/1998,25.025,25.025,23.6,24.17,120213
09/11/1998,24.455,24.455,23.6,24.055,51683
10/11/1998,23.885,24.17,23.885,23.885,114699
12/11/1998,24.34,24.34,24.17,24.34,75299
13/11/1998,24.34,24.624,24.17,24.455,73907
16/11/1998,23.6,24.739,23.6,24.17,30758
17/11/1998,23.317,23.317,22.637,22.747,27087
18/11/1998,22.747,22.747,22.177,22.463,68728
19/11/1998,22.637,22.637,22.177,22.352,30527
20/11/1998,22.747,22.747,22.463,22.747,16484
23/11/1998,22.921,22.921,22.463,22.747,32270
24/11/1998,23.032,23.032,22.352,22.463,43587
25/11/1998,22.177,22.352,21.893,22.352,13136
26/11/1998,22.177,22.352,22.177,22.352,20390
27/11/1998,22.177,22.177,21.782,21.893,13469
30/11/1998,21.893,22.067,21.893,22.067,43965
01/12/1998,21.213,21.213,21.045,21.213,37035
02/12/1998,21.329,21.782,21.329,21.782,60975
03/12/1998,21.893,23.032,21.893,23.032,73198
04/12/1998,23.317,23.885,23.317,23.885,54464
07/12/1998,24.055,24.055,23.885,24.055,41154
08/12/1998,24.055,24.17,23.885,24.055,47813
09/12/1998,24.055,24.17,24.055,24.055,33995
10/12/1998,24.34,24.34,24.055,24.055,50210
11/12/1998,23.885,23.885,23.6,23.6,25729
14/12/1998,23.6,23.885,23.6,23.77,32430
15/12/1998,24.055,24.055,23.885,24.055,6939
16/12/1998,24.34,24.34,24.055,24.34,23259
17/12/1998,23.885,23.885,23.486,23.6,14233
18/12/1998,23.885,24.34,23.885,24.34,26558
21/12/1998,24.455,24.739,24.455,24.624,34615
22/12/1998,24.908,25.878,24.908,25.594,40839
23/12/1998,25.309,26.048,25.309,26.048,34660
28/12/1998,26.332,27.865,26.332,27.011,23930
29/12/1998,26.163,26.163,25.309,25.478,17634
30/12/1998,25.594,25.763,25.594,25.763,20994
31/12/1998,25.878,26.163,25.878,26.163,4990
04/01/1999,26.443,27.011,26.443,26.617,14112
05/01/1999,27.011,27.865,27.011,27.296,64091
06/01/1999,27.865,31.276,27.865,31.276,116580
07/01/1999,30.596,31.735,29.743,30.428,111091
08/01/1999,30.312,30.312,29.743,30.027,78884
11/01/1999,29.858,29.858,29.004,29.289,30991
12/01/1999,29.004,29.004,28.15,28.15,62451
13/01/1999,28.435,28.435,26.443,27.011,61848
14/01/1999,27.296,29.004,27.296,28.435,99569
15/01/1999,28.435,28.719,27.865,28.719,68028
18/01/1999,30.712,31.276,30.712,30.712,101006
19/01/1999,30.712,31.276,30.712,30.997,75913
20/01/1999,31.56,33.153,31.56,33.153,66096
21/01/1999,34.693,35.263,33.838,34.693,82155
22/01/1999,34.693,35.263,34.408,34.976,165143
25/01/1999,35.547,36.964,35.547,36.853,90073
26/01/1999,37.249,37.249,36.394,36.68,74645
27/01/1999,36.853,36.853,35.547,36.285,21440
28/01/1999,35.547,36.964,35.547,36.68,63021
29/01/1999,36.964,36.964,36.68,36.68,46975
01/02/1999,36.964,37.534,36.394,37.249,39572
02/02/1999,37.249,37.249,36.394,36.394,50775
03/02/1999,34.291,36,34.291,35.547,36212
04/02/1999,35.547,36.11,35.547,35.831,36183
05/02/1999,34.693,34.693,34.124,34.124,53551
08/02/1999,34.124,34.408,33.554,34.124,21680
09/02/1999,33.838,33.838,32.59,32.984,30491
10/02/1999,31.276,31.56,30.428,31.56,140734
11/02/1999,31.846,33.269,31.846,32.7,56113
12/02/1999,32.984,33.722,32.874,32.984,41406
15/02/1999,32.7,33.722,32.7,33.554,12392
16/02/1999,32.984,33.153,32.7,33.153,50860
17/02/1999,32.7,32.7,32.131,32.415,39130
18/02/1999,32.7,32.7,32.131,32.131,38306
19/02/1999,32.7,32.7,31.846,32.02,51749
22/02/1999,32.7,32.7,32.02,32.131,19208
23/02/1999,32.7,32.7,31.846,32.02,21420
24/02/1999,31.276,34.976,30.88,30.997,46591
25/02/1999,30.428,30.428,28.435,28.603,121886
26/02/1999,28.719,29.858,28.719,29.574,142070
01/03/1999,29.574,29.574,29.004,29.289,75006
02/03/1999,29.858,30.997,29.858,30.997,97240
03/03/1999,30.88,30.88,30.428,30.596,52766
04/03/1999,30.596,30.596,29.858,29.858,57124
05/03/1999,30.143,30.143,29.574,30.143,45419
08/03/1999,30.143,30.596,29.574,30.428,81975
09/03/1999,30.712,31.451,30.712,30.88,177316
10/03/1999,31.56,31.846,31.276,31.56,110280
11/03/1999,32.59,32.59,31.56,32.131,68754
12/03/1999,33.269,33.269,32.7,32.984,90797
15/03/1999,33.554,33.838,33.153,33.438,112188
16/03/1999,33.838,34.124,33.438,34.124,38563
17/03/1999,33.838,34.124,33.722,33.722,46410
18/03/1999,33.554,33.554,32.984,32.984,37803
19/03/1999,32.984,34.007,32.984,34.007,22838
22/03/1999,34.408,36.11,34.408,35.263,33680
23/03/1999,35.831,35.831,34.408,34.693,30256
24/03/1999,33.554,34.976,33.554,34.693,26607
25/03/1999,34.124,34.124,33.838,34.124,21385
26/03/1999,34.976,34.976,33.838,33.838,20969
29/03/1999,32.7,33.838,32.7,33.838,31937
30/03/1999,34.124,34.124,33.438,33.438,36940
31/03/1999,33.153,33.838,33.153,33.838,17741
01/04/1999,33.269,34.291,33.269,34.007,17748
06/04/1999,34.408,34.861,34.291,34.408,24730
07/04/1999,34.693,34.693,34.124,34.576,43860
08/04/1999,34.693,34.693,34.291,34.291,74338
09/04/1999,34.693,34.693,34.124,34.693,34874
12/04/1999,34.693,34.693,33.838,34.007,17126
13/04/1999,34.408,34.408,33.722,33.838,50125
14/04/1999,33.838,34.693,33.838,33.838,15089
15/04/1999,33.838,33.838,33.554,33.554,17223
16/04/1999,33.838,34.291,33.838,34.124,13968
19/04/1999,34.693,35.547,34.693,35.547,18267
20/04/1999,34.124,34.291,34.124,34.124,40937
21/04/1999,34.976,35.263,34.861,35.263,20204
22/04/1999,35.263,35.547,35.263,35.431,42428
23/04/1999,35.547,35.831,35.431,35.431,45453
26/04/1999,35.263,35.263,35.145,35.145,36610
27/04/1999,35.547,36.11,35.547,35.547,49366
28/04/1999,35.263,35.263,34.408,34.693,7102
29/04/1999,34.408,34.693,34.408,34.693,53727
30/04/1999,34.576,34.976,34.576,34.861,16882
04/05/1999,34.976,35.145,34.976,34.976,14279
