Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
02/08/1994,8.2789,8.2789,8.2789,8.2789,347109
03/08/1994,9.0931,9.0931,9.0931,9.0931,325196
04/08/1994,9.995,9.995,9.995,9.995,355499
08/08/1994,9.0931,9.0931,9.0931,9.0931,263619
09/08/1994,10.732,10.732,10.732,10.732,135441
10/08/1994,10.123,10.123,10.123,10.123,156263
11/08/1994,9.917,9.917,9.917,9.917,127846
16/08/1994,10.536,10.536,10.536,10.536,81439
17/08/1994,11.065,11.065,11.065,11.065,82459
18/08/1994,9.956,9.956,9.956,9.956,54547
22/08/1994,10.33,10.33,10.33,10.33,105020
23/08/1994,9.505,9.505,9.505,9.505,68436
24/08/1994,9.299,9.299,9.299,9.299,75990
25/08/1994,8.3575,8.3575,8.3575,8.3575,64062
29/08/1994,9.0538,9.0538,9.0538,9.0538,88751
30/08/1994,9.0146,9.0146,9.0146,9.0146,57584
31/08/1994,8.4849,8.4849,8.4849,8.4849,46757
01/09/1994,8.2789,8.2789,8.2789,8.2789,68146
05/09/1994,7.8669,7.8669,7.8669,7.8669,43109
06/09/1994,7.0724,7.0724,7.0724,7.0724,37739
07/09/1994,6.3759,6.3759,6.3759,6.3759,156803
08/09/1994,6.9841,6.9841,6.9841,6.9841,86789
12/09/1994,7.661,7.661,7.661,7.661,108685
13/09/1994,6.9056,6.9056,6.9056,6.9056,163573
14/09/1994,7.0233,7.0233,7.0233,7.0233,67828
15/09/1994,6.886,6.886,6.886,6.886,39334
19/09/1994,6.8664,6.8664,6.8664,6.8664,54914
20/09/1994,6.1895,6.1895,6.1895,6.1895,63258
21/09/1994,5.6304,5.6304,5.6304,5.6304,89661
22/09/1994,5.856,5.856,5.856,5.856,79343
26/09/1994,5.6991,5.6991,5.6991,5.6991,49891
27/09/1994,5.2872,5.2872,5.2872,5.2872,56520
28/09/1994,5.2872,5.2872,5.2872,5.2872,101838
29/09/1994,5.5912,5.5912,5.5912,5.5912,51087
03/10/1994,6.1503,6.1503,6.1503,6.1503,104549
04/10/1994,6.2092,6.2092,6.2092,6.2092,123799
05/10/1994,6.8272,6.8272,6.8272,6.8272,80134
06/10/1994,6.7193,6.7193,6.7193,6.7193,99861
07/10/1994,6.8468,6.8468,6.8468,6.8468,82013
10/10/1994,6.7193,6.7193,6.7193,6.7193,52166
11/10/1994,6.4152,6.4152,6.4152,6.4152,54413
12/10/1994,6.4152,6.4152,6.4152,6.4152,48188
13/10/1994,5.7776,5.7776,5.7776,5.7776,87821
14/10/1994,6.3269,6.3269,6.3269,6.3269,126534
17/10/1994,6.6212,6.6212,6.6212,6.6212,91002
18/10/1994,6.8272,6.8272,6.8272,6.8272,89757
19/10/1994,6.7193,6.7193,6.7193,6.7193,44166
20/10/1994,6.6016,6.6016,6.6016,6.6016,117705
21/10/1994,6.2681,6.2681,6.2681,6.2681,59848
24/10/1994,5.7972,5.7972,5.7972,5.7972,59138
25/10/1994,5.8756,5.8756,5.8756,5.8756,45691
26/10/1994,5.9051,5.9051,5.9051,5.9051,113586
27/10/1994,5.5912,5.5912,5.5912,5.5912,31924
28/10/1994,5.4735,5.4735,5.4735,5.4735,27974
02/11/1994,6.0228,6.0228,6.0228,6.0228,41354
03/11/1994,5.9639,5.9639,5.9639,5.9639,17056
04/11/1994,5.9443,5.9443,5.9443,5.9443,44719
07/11/1994,5.9051,5.9051,5.9051,5.9051,35038
08/11/1994,5.9051,5.9051,5.9051,5.9051,20199
09/11/1994,5.9247,5.9247,5.9247,5.9247,52356
10/11/1994,5.9247,5.9247,5.9247,5.9247,44859
14/11/1994,5.9051,5.9051,5.9051,5.9051,37173
15/11/1994,5.4735,5.4735,5.4735,5.4735,42035
16/11/1994,5.4735,5.4735,5.4735,5.4735,70840
17/11/1994,5.3656,5.3656,5.3656,5.3656,22701
18/11/1994,5.6795,5.6795,5.6795,5.6795,44968
21/11/1994,5.1008,5.1008,5.1008,5.1008,17876
22/11/1994,4.6103,4.6103,4.6103,4.6103,57196
23/11/1994,4.6691,4.6691,4.6691,4.6691,32207
24/11/1994,4.6495,4.6495,4.6495,4.6495,22124
25/11/1994,4.6691,4.6691,4.6691,4.6691,13764
28/11/1994,5.1008,5.1008,5.1008,5.1008,34924
29/11/1994,5.6108,5.6108,5.6108,5.6108,81446
30/11/1994,6.0817,6.0817,6.0817,6.0817,73446
01/12/1994,6.0424,6.0424,6.0424,6.0424,78543
02/12/1994,5.4245,5.4245,5.4245,5.4245,48839
05/12/1994,5.6991,5.6991,5.6991,5.6991,34977
06/12/1994,5.5716,5.5716,5.5716,5.5716,34518
07/12/1994,5.6991,5.6991,5.6991,5.6991,87938
08/12/1994,5.1204,5.1204,5.1204,5.1204,87938
09/12/1994,4.6691,4.6691,4.6691,4.6691,37452
12/12/1994,5.0615,5.0615,5.0615,5.0615,62759
13/12/1994,4.8751,4.8751,4.8751,4.8751,32997
14/12/1994,4.7771,4.7771,4.7771,4.7771,53942
15/12/1994,4.8751,4.8751,4.8751,4.8751,20807
16/12/1994,5.346,5.346,5.346,5.346,76884
19/12/1994,5.2676,5.2676,5.2676,5.2676,28444
20/12/1994,5.2086,5.2086,5.2086,5.2086,26877
21/12/1994,5.1204,5.1204,5.1204,5.1204,14698
22/12/1994,5.2676,5.2676,5.2676,5.2676,10852
23/12/1994,5.2676,5.2676,5.2676,5.2676,16021
27/12/1994,5.2282,5.2282,5.2282,5.2282,15350
28/12/1994,5.0615,5.0615,5.0615,5.0615,17041
29/12/1994,5.1008,5.1008,5.1008,5.1008,20563
02/01/1995,5.6108,5.6108,5.6108,5.6108,79982
03/01/1995,5.3264,5.3264,5.3264,5.3264,55473
04/01/1995,5.4735,5.4735,5.4735,5.4735,22486
05/01/1995,5.5912,5.5912,5.5912,5.5912,21815
06/01/1995,5.3068,5.3068,5.3068,5.3068,15644
09/01/1995,5.4245,5.4245,5.4245,5.4245,12344
10/01/1995,5.4245,5.4245,5.4245,5.4245,42179
11/01/1995,5.4539,5.4539,5.4539,5.4539,26882
12/01/1995,5.5128,5.5128,5.5128,5.5128,18692
13/01/1995,5.5912,5.5912,5.5912,5.5912,38618
16/01/1995,5.5324,5.5324,5.5324,5.5324,11661
17/01/1995,5.4735,5.4735,5.4735,5.4735,25408
18/01/1995,5.3852,5.3852,5.3852,5.3852,29417
19/01/1995,5.4735,5.4735,5.4735,5.4735,9324
20/01/1995,5.4539,5.4539,5.4539,5.4539,14955
23/01/1995,5.2676,5.2676,5.2676,5.2676,26496
24/01/1995,4.983,4.983,4.983,4.983,19082
25/01/1995,4.9537,4.9537,4.9537,4.9537,145622
26/01/1995,4.9537,4.9537,4.9537,4.9537,24507
27/01/1995,5.0026,5.0026,5.0026,5.0026,21703
30/01/1995,4.9537,4.9537,4.9537,4.9537,32273
31/01/1995,4.9537,4.9537,4.9537,4.9537,50323
01/02/1995,5.0615,5.0615,5.0615,5.0615,22623
02/02/1995,5.0615,5.0615,5.0615,5.0615,43970
03/02/1995,4.9537,4.9537,4.9537,4.9537,31063
06/02/1995,5.2086,5.2086,5.2086,5.2086,6533
07/02/1995,5.7384,5.7384,5.7384,5.7384,70340
08/02/1995,5.6304,5.6304,5.6304,5.6304,41533
09/02/1995,5.2676,5.2676,5.2676,5.2676,16337
10/02/1995,5.2676,5.2676,5.2676,5.2676,42923
13/02/1995,5.1596,5.1596,5.1596,5.1596,4453
14/02/1995,5.3656,5.3656,5.3656,5.3656,10340
15/02/1995,5.2282,5.2282,5.2282,5.2282,8614
16/02/1995,5.346,5.346,5.346,5.346,7387
17/02/1995,5.2872,5.2872,5.2872,5.2872,8515
20/02/1995,5.1008,5.1008,5.1008,5.1008,6958
21/02/1995,4.8359,4.8359,4.8359,4.8359,32058
22/02/1995,4.8947,4.8947,4.8947,4.8947,17769
23/02/1995,4.983,4.983,4.983,4.983,24604
24/02/1995,5.4735,5.4735,5.4735,5.4735,93778
27/02/1995,4.9341,4.9341,4.9341,4.9341,26328
28/02/1995,4.9537,4.9537,4.9537,4.9537,17547
01/03/1995,5.0223,5.0223,5.0223,5.0223,11453
02/03/1995,5.1596,5.1596,5.1596,5.1596,15591
03/03/1995,5.2282,5.2282,5.2282,5.2282,14450
06/03/1995,5.2086,5.2086,5.2086,5.2086,27767
07/03/1995,5.1596,5.1596,5.1596,5.1596,26245
08/03/1995,5.2282,5.2282,5.2282,5.2282,11292
09/03/1995,5.2479,5.2479,5.2479,5.2479,15826
10/03/1995,5.1793,5.1793,5.1793,5.1793,25079
13/03/1995,5.14,5.14,5.14,5.14,27807
14/03/1995,5.0615,5.0615,5.0615,5.0615,7907
15/03/1995,5.1596,5.1596,5.1596,5.1596,10750
16/03/1995,5.0615,5.0615,5.0615,5.0615,9483
17/03/1995,5.0812,5.0812,5.0812,5.0812,18596
20/03/1995,5.0026,5.0026,5.0026,5.0026,17702
21/03/1995,5.0223,5.0223,5.0223,5.0223,14740
22/03/1995,5.0026,5.0026,5.0026,5.0026,15902
23/03/1995,4.9537,4.9537,4.9537,4.9537,25312
24/03/1995,4.983,4.983,4.983,4.983,6428
27/03/1995,5.0026,5.0026,5.0026,5.0026,16004
28/03/1995,4.9341,4.9341,4.9341,4.9341,12149
29/03/1995,4.8359,4.8359,4.8359,4.8359,6824
30/03/1995,4.8555,4.8555,4.8555,4.8555,12045
31/03/1995,4.9537,4.9537,4.9537,4.9537,16134
03/04/1995,5.0615,5.0615,5.0615,5.0615,13736
04/04/1995,5.1596,5.1596,5.1596,5.1596,36027
05/04/1995,5.1596,5.1596,5.1596,5.1596,24307
06/04/1995,5.2282,5.2282,5.2282,5.2282,57710
07/04/1995,5.3656,5.3656,5.3656,5.3656,67438
10/04/1995,5.9247,5.9247,5.9247,5.9247,103276
11/04/1995,5.9639,5.9639,5.9639,5.9639,63572
12/04/1995,5.9639,5.9639,5.9639,5.9639,76990
13/04/1995,5.6991,5.6991,5.6991,5.6991,70845
14/04/1995,5.8364,5.8364,5.8364,5.8364,40844
18/04/1995,6.3073,6.3073,6.3073,6.3073,18619
19/04/1995,6.9253,6.9253,6.9253,6.9253,70180
20/04/1995,6.8272,6.8272,6.8272,6.8272,83990
21/04/1995,6.6212,6.6212,6.6212,6.6212,78279
24/04/1995,6.9449,6.9449,6.9449,6.9449,69901
25/04/1995,6.8272,6.8272,6.8272,6.8272,106269
26/04/1995,6.2681,6.2681,6.2681,6.2681,49289
27/04/1995,6.3759,6.3759,6.3759,6.3759,82792
28/04/1995,6.4152,6.4152,6.4152,6.4152,94113
04/05/1995,6.6408,6.6408,6.6408,6.6408,71182
05/05/1995,6.8664,6.8664,6.8664,6.8664,75912
