Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
09/06/2005,26.676,26.676,25.013,25.013,1795647
10/06/2005,25.097,25.433,24.594,24.594,679054
13/06/2005,25.013,25.097,24.594,24.762,213950
14/06/2005,24.929,24.929,24.762,24.762,181415
15/06/2005,24.762,24.845,24.594,24.762,160359
16/06/2005,24.762,24.762,24.35,24.35,171475
17/06/2005,24.51,24.51,24.182,24.267,286286
20/06/2005,24.182,24.267,24.013,24.182,230027
21/06/2005,24.182,24.267,24.013,24.182,328050
22/06/2005,24.267,24.929,24.267,24.845,299635
23/06/2005,25.013,25.266,24.678,24.678,221598
24/06/2005,24.762,24.929,24.51,24.51,42660
27/06/2005,24.51,24.845,24.426,24.762,22542
28/06/2005,24.845,24.845,24.51,24.762,21546
29/06/2005,24.929,24.929,24.594,24.678,34953
30/06/2005,24.762,24.762,24.426,24.678,56049
01/07/2005,24.762,24.762,24.51,24.594,40169
04/07/2005,24.594,24.929,24.594,24.762,48311
05/07/2005,24.845,25.182,24.762,25.013,94613
06/07/2005,25.013,25.013,24.845,24.929,23239
07/07/2005,25.013,25.013,24.594,24.929,88585
08/07/2005,25.013,26.098,25.013,25.846,1137592
11/07/2005,26.181,26.518,25.761,25.93,684918
12/07/2005,26.014,26.014,25.846,25.93,245968
13/07/2005,25.93,26.266,25.93,26.266,477461
14/07/2005,26.349,26.434,26.181,26.266,383853
15/07/2005,26.181,26.181,26.014,26.098,233401
18/07/2005,26.014,26.098,25.518,25.594,225592
19/07/2005,25.518,25.678,25.266,25.594,198664
20/07/2005,25.594,25.846,25.266,25.349,197376
21/07/2005,25.433,25.594,25.013,25.013,280189
22/07/2005,24.929,25.013,24.678,24.762,257667
25/07/2005,24.929,25.678,24.929,25.678,290747
26/07/2005,25.678,26.098,25.678,26.098,604855
27/07/2005,26.098,26.181,25.93,26.181,388722
28/07/2005,26.181,26.349,26.098,26.349,801321
29/07/2005,26.349,26.349,26.098,26.181,280148
01/08/2005,26.098,26.181,25.846,26.014,213877
02/08/2005,26.098,26.434,26.098,26.266,1177048
03/08/2005,26.266,26.518,26.014,26.434,739937
04/08/2005,26.349,26.434,26.181,26.349,260880
05/08/2005,26.349,26.349,26.098,26.181,161756
08/08/2005,26.266,27.181,26.266,27.181,1327374
09/08/2005,27.181,27.601,27.181,27.433,947019
10/08/2005,27.517,28.516,27.517,28.265,1913703
11/08/2005,28.432,29.096,28.349,29.011,1946614
12/08/2005,28.937,28.937,28.349,28.432,1182137
16/08/2005,28.432,28.769,28.265,28.349,1246066
17/08/2005,28.432,28.432,28.181,28.349,523977
18/08/2005,28.265,28.349,27.685,27.769,464309
19/08/2005,27.601,28.012,27.181,27.929,445262
22/08/2005,28.096,28.432,28.096,28.265,431496
23/08/2005,28.265,28.265,28.096,28.181,157559
24/08/2005,28.181,28.349,28.096,28.265,466520
25/08/2005,28.181,28.265,28.012,28.012,115304
26/08/2005,27.929,28.181,27.845,28.181,196427
29/08/2005,28.181,28.601,28.012,28.516,367186
30/08/2005,28.601,29.011,28.601,28.684,761158
31/08/2005,28.684,29.096,28.684,29.011,847818
01/09/2005,29.347,30.431,29.347,30.18,2289395
