Dlugosc genotypu,Czas operacji z A do B i B do A
2, 1173
3, 3
4, 3
5, 3
6, 4
7, 5
8, 5
9, 5
10, 7
11, 20
12, 7
13, 8
14, 9
15, 8
16, 7
17, 10
18, 8
19, 8
20, 9
21, 8
22, 11
23, 13
24, 15
25, 10
26, 19
27, 13
28, 14
29, 13
30, 18
31, 19
32, 14
33, 16
34, 13
35, 18
36, 33
37, 64
38, 20
39, 21
40, 15
41, 22
42, 20
43, 24
44, 27
45, 25
46, 39
47, 23
48, 18
49, 32
50, 30
51, 25
52, 31
53, 44
54, 26
55, 24
56, 31
57, 35
58, 32
59, 39
60, 50
61, 35
62, 34
63, 27
64, 25
65, 43
66, 18
67, 42
68, 47
69, 42
70, 51
71, 44
72, 35
73, 59
74, 48
75, 53
76, 58
77, 44
78, 48
79, 65
80, 52
81, 39
82, 36
83, 59
84, 41
85, 42
86, 61
87, 62
88, 33
89, 74
90, 56
91, 68
92, 69
93, 51
94, 66
95, 33
96, 28
97, 57
98, 49
99, 61
100, 61
101, 83
102, 72
103, 38
104, 87
105, 85
106, 96
107, 70
108, 89
109, 61
110, 27
111, 100
112, 65
113, 85
114, 95
115, 95
116, 64
117, 39
118, 97
119, 105
120, 102
121, 84
122, 116
123, 85
124, 112
125, 63
126, 122
127, 65
128, 72
129, 109
130, 98
131, 82
132, 89
133, 57
134, 98
135, 80
136, 105
137, 115
138, 58
139, 141
140, 756
141, 190
142, 52
143, 111
144, 100
145, 106
146, 108
147, 143
148, 174
149, 145
150, 131
151, 113
152, 165
153, 139
154, 156
155, 108
156, 143
157, 73
158, 152
159, 100
160, 107
161, 151
162, 111
163, 170
164, 170
165, 147
166, 146
167, 176
168, 153
169, 173
170, 177
171, 135
172, 103
173, 128
174, 172
175, 127
176, 201
177, 153
178, 182
179, 158
180, 132
181, 105
182, 161
183, 169
184, 202
185, 192
186, 192
187, 212
188, 111
189, 116
190, 148
191, 69
192, 161
193, 203
194, 209
195, 187
196, 201
197, 238
198, 220
199, 150
200, 244
201, 151
202, 220
203, 180
204, 133
205, 166
206, 223
207, 189
208, 244
209, 218
210, 211
211, 265
212, 196
213, 196
214, 189
215, 219
216, 165
217, 190
218, 247
219, 162
220, 134
221, 258
222, 278
223, 225
224, 176
225, 205
226, 231
227, 241
228, 251
229, 247
230, 184
231, 116
232, 308
233, 200
234, 128
235, 198
236, 206
237, 202
238, 243
239, 192
240, 240
241, 181
242, 204
243, 287
244, 320
245, 333
246, 221
247, 314
248, 246
249, 321
250, 394
251, 329
252, 248
253, 100
254, 254
255, 381
256, 302
257, 211
258, 214
259, 214
260, 227
261, 226
262, 275
263, 270
264, 232
265, 110
266, 332
267, 219
268, 246
269, 292
270, 373
271, 338
272, 218
273, 272
274, 230
275, 357
276, 272
277, 359
278, 274
279, 299
280, 309
281, 369
282, 372
283, 396
284, 427
285, 170
286, 303
287, 316
288, 361
289, 152
290, 269
291, 234
292, 240
293, 117
294, 308
295, 365
296, 346
297, 357
298, 383
299, 141
300, 389
301, 348
302, 401
303, 254
304, 202
305, 233
306, 185
307, 308
308, 445
309, 214
310, 390
311, 134
312, 455
313, 423
314, 339
315, 411
316, 412
317, 445
318, 389
319, 389
320, 280
321, 1174
322, 142
323, 507
324, 262
325, 436
326, 302
327, 555
328, 454
329, 337
330, 536
331, 436
332, 348
333, 349
334, 403
335, 376
336, 176
337, 273
338, 401
339, 398
340, 472
341, 440
342, 280
343, 329
344, 206
345, 581
346, 416
347, 599
348, 420
349, 262
350, 498
351, 560
352, 540
353, 639
354, 378
355, 536
356, 447
357, 458
358, 565
359, 465
360, 464
361, 492
362, 561
363, 503
364, 339
365, 410
366, 372
367, 367
368, 512
369, 662
370, 374
371, 271
372, 349
373, 685
374, 517
375, 520
376, 642
377, 511
378, 673
379, 542
380, 410
381, 698
382, 611
383, 706
384, 593
385, 523
386, 612
387, 610
388, 646
389, 548
390, 309
391, 577
392, 577
393, 473
394, 664
395, 621
396, 734
397, 565
398, 492
399, 720
400, 494
401, 343
402, 521
403, 603
404, 840
405, 1161
406, 1249
407, 676
408, 285
409, 1334
410, 592
411, 529
412, 521
413, 549
414, 407
415, 475
416, 797
417, 502
418, 842
419, 658
420, 833
421, 360
422, 342
423, 6216
424, 2858
425, 894
426, 2458
427, 1539
428, 1476
429, 1201
430, 1212
431, 479
432, 948
433, 848
434, 1010
435, 957
436, 1410
437, 1483
438, 719
439, 1637
440, 6443
441, 798
442, 486
443, 1174
444, 695
445, 557
446, 832
447, 899
448, 883
449, 256
450, 932
451, 331
452, 685
453, 944
454, 888
455, 315
456, 702
457, 1239
458, 2927
459, 3813
460, 805
461, 367
462, 1732
463, 340
464, 1416
465, 650
466, 880
467, 817
468, 511
469, 822
470, 572
471, 833
472, 638
473, 532
474, 695
475, 5149
476, 2838
477, 2179
478, 1141
479, 1012
480, 1072
481, 840
482, 614
483, 643
484, 809
485, 977
486, 898
487, 957
488, 912
489, 857
490, 1267
491, 2553
492, 459
493, 836
494, 1023
495, 757
496, 991
497, 817
498, 850
499, 855
500, 8810
501, 7049
502, 982
503, 1048
504, 477
505, 1049
506, 457
507, 638
508, 740
509, 1186
510, 482
511, 955
512, 866
513, 830
514, 953
515, 1225
516, 1112
517, 1099
518, 705
519, 897
520, 2900
521, 779
522, 575
523, 1190
524, 27368
525, 868
526, 778
527, 793
528, 2976
529, 637
530, 851
531, 937
532, 1152
533, 1152
534, 852
535, 821
536, 832
537, 822
538, 651
539, 867
540, 1274
541, 947
542, 763
543, 1204
544, 761
545, 8503
546, 1186
547, 2152
548, 830
549, 191
550, 924
551, 1125
552, 561
553, 1363
554, 1270
555, 661
556, 853
557, 1702
558, 681
559, 997
560, 1217
561, 1029
562, 807
563, 737
564, 3652
565, 1046
566, 1482
567, 1178
568, 986
569, 1041
570, 1208
571, 562
572, 1025
573, 955
574, 930
575, 817
576, 1128
577, 693
578, 938
579, 1136
580, 860
581, 398
582, 774
583, 1464
584, 1727
585, 943
586, 891
587, 1502
588, 1504
589, 3739
590, 1901
591, 1027
592, 972
593, 1489
594, 1082
595, 1356
596, 3572
597, 1437
598, 585
599, 1409
600, 418
601, 648
602, 539
603, 1390
604, 78377
605, 1584
606, 1282
607, 618
608, 1535
609, 1205
610, 1304
611, 1351
612, 1107
613, 1571
614, 1547
615, 1068
616, 1104
617, 838
618, 1110
619, 1604
620, 1219
621, 1089
622, 1662
623, 1092
624, 1068
625, 1692
626, 776
627, 911
628, 892
629, 1334
630, 1377
631, 1161
632, 288
633, 1195
634, 1385
635, 1574
636, 599
637, 1064
638, 1772
639, 808
640, 911
641, 1750
642, 1270
643, 1082
644, 625
645, 911
646, 1291
647, 1423
648, 748
649, 1494
650, 1079
651, 646
652, 1820
653, 1085
654, 1052
655, 1099
656, 1178
657, 1128
658, 1436
659, 581
660, 1040
661, 1797
662, 1206
663, 1836
664, 1685
665, 713
666, 1871
667, 886
668, 1751
669, 1758
670, 935
671, 1831
672, 1602
673, 384
674, 854
675, 1419
676, 1459
677, 962
678, 947
679, 1110
680, 1425
681, 1038
682, 1905
683, 774
684, 1142
685, 601
686, 1361
687, 841
688, 1588
689, 462
690, 1149
691, 1350
692, 1033
693, 912
694, 1580
695, 1370
696, 1291
697, 1007
698, 1662
699, 1695
700, 1360
701, 1741
702, 1827
703, 1505
704, 847
705, 686
706, 1089
707, 1226
708, 1541
709, 1406
710, 1806
711, 2013
712, 639
713, 1787
714, 1917
715, 735
716, 1010
717, 2048
718, 1362
719, 1076
720, 1196
721, 1650
722, 927
723, 1358
724, 975
725, 1611
726, 2169
727, 1511
728, 2176
729, 1134
730, 1274
731, 1295
732, 1440
733, 1772
734, 1594
735, 1710
736, 1480
737, 900
738, 1231
739, 1723
740, 2079
741, 1240
742, 1429
743, 1245
744, 1957
745, 1553
746, 2231
747, 969
748, 22338
749, 435
750, 630
751, 673
752, 1027
753, 2600
754, 2247
755, 2029
756, 1337
757, 2181
758, 1598
759, 1283
760, 1495
761, 348
762, 1884
763, 1116
764, 2409
765, 584
766, 706
767, 1837
768, 1207
769, 1833
770, 2160
771, 1715
772, 269
773, 1567
774, 1111
775, 1092
776, 1752
777, 2524
778, 1241
779, 1870
780, 1415
781, 913
782, 2059
783, 2531
784, 1517
785, 1794
786, 1460
787, 2055
788, 856
789, 1999
790, 1830
791, 2314
792, 1424
793, 1624
794, 1743
795, 1029
796, 1332
797, 1878
798, 1261
799, 1037
800, 2634
801, 2324
802, 1338
803, 1729
804, 1247
805, 2219
806, 1873
807, 1416
808, 2098
809, 1836
810, 1064
811, 902
812, 2044
813, 1413
814, 1962
815, 1436
816, 529
817, 1847
818, 2309
819, 1519
820, 2435
821, 2462
822, 2608
823, 1353
824, 2677
825, 1787
826, 1285
827, 1501
828, 2831
829, 2533
830, 2541
831, 873
832, 1327
833, 1261
834, 1399
835, 1817
836, 2299
837, 1835
838, 1278
839, 2630
840, 2441
841, 2084
842, 2775
843, 1779
844, 2005
845, 1719
846, 2900
847, 1715
848, 2344
849, 746
850, 1252
851, 1574
852, 1302
853, 913
854, 1427
855, 2319
856, 1963
857, 2572
858, 2552
859, 617
860, 2267
861, 1773
862, 1575
863, 2948
864, 1322
865, 1388
866, 1948
867, 2956
868, 1975
869, 3133
870, 3116
871, 1973
872, 3283
873, 1813
874, 2308
875, 2633
876, 1593
877, 1675
878, 3000
879, 2051
880, 1184
881, 2808
882, 2801
883, 2558
884, 1104
885, 3003
886, 785
887, 2477
888, 1483
889, 3138
890, 3116
891, 2731
892, 2116
893, 1237
894, 2323
895, 2626
896, 2128
897, 2942
898, 2162
899, 1395
900, 3432
901, 2065
902, 2289
903, 2987
904, 3024
905, 2168
906, 2830
907, 2857
908, 740
909, 3008
910, 1967
911, 2487
912, 2801
913, 1205
914, 2205
915, 2694
916, 2327
917, 2566
918, 1848
919, 2655
920, 2176
921, 2716
922, 2758
923, 1168
924, 2861
925, 793
926, 1085
927, 2118
928, 3417
929, 3150
930, 2720
931, 1716
932, 1764
933, 3062
934, 2723
935, 3433
936, 2845
937, 2837
938, 1623
939, 2273
940, 2704
941, 1923
942, 4569
943, 2188
944, 746
945, 2555
946, 1801
947, 3262
948, 2643
949, 3174
950, 3053
951, 3521
952, 2300
953, 3019
954, 1139
955, 2439
956, 3162
957, 3774
958, 2963
959, 1972
960, 831
961, 2239
962, 1215
963, 3848
964, 2061
965, 1201
966, 3900
967, 2205
968, 3865
969, 3702
970, 3371
971, 2574
972, 3101
973, 2810
974, 2637
975, 2545
976, 2539
977, 2914
978, 1076
979, 3478
980, 2620
981, 2065
982, 3360
983, 2445
984, 1169
985, 3763
986, 2917
987, 2616
988, 2197
989, 2615
990, 9404
991, 3825
992, 1993
993, 3909
994, 794
995, 4095
996, 3588
997, 2659
998, 1791
999, 1966
