[11/05/2019 16:11:17]: ===================================SEPARATOR================================================
[11/05/2019 16:11:17]: New instance, passed parameters 
PMX
1,8,2,4,5,6,7,9,3,
4,2,3,1,8,7,6,5,9,
OX
2,1,8,4,5,6,7,9,3,
3,4,5,1,8,7,6,9,2,
CX
[11/05/2019 16:11:17]: 4,1,2,8,5,6,7,3,9
[11/05/2019 16:11:17]: 1,2,3,4,7,6,9,8,5
[11/05/2019 16:11:17]: Test losowosci
[11/05/2019 16:11:17]: 702620719,0.786521221411657
[11/05/2019 16:11:17]: 491739755,0.595960449239221
[11/05/2019 16:11:17]: 1764591530,0.970180968740108
[11/05/2019 16:11:17]: 886274560,0.483695541733734
[11/05/2019 16:11:17]: 1133618395,0.759038432854711
[11/05/2019 16:11:17]: 1883270440,0.938477155723831
[11/05/2019 16:11:17]: 1045087099,0.00841306941975517
[11/05/2019 16:11:17]: 1148284362,0.180391028607446
[11/05/2019 16:11:17]: 777615998,0.879198506418242
[11/05/2019 16:11:17]: 749486515,0.528364890966734
[11/05/2019 16:11:17]: 292069682,0.00608535530329
[11/05/2019 16:11:17]: 564683459,0.404758544361572
[11/05/2019 16:11:17]: 5706277,0.787128240236607
[11/05/2019 16:11:17]: 307739357,0.91695350777216
[11/05/2019 16:11:17]: 1998368245,0.869279851610437
[11/05/2019 16:11:17]: 580579653,0.328343986686479
[11/05/2019 16:11:17]: 675512132,0.806157279203719
[11/05/2019 16:11:17]: 127801776,0.757056899255634
[11/05/2019 16:11:17]: 24595235,0.597877899928893
[11/05/2019 16:11:17]: 190416055,0.742923934824264
[11/05/2019 16:11:17]: 1614350479,0.503510623939108
[11/05/2019 16:11:17]: 693748015,0.338180517935278
[11/05/2019 16:11:17]: 1922772517,0.74912679602817
[11/05/2019 16:11:17]: 826006550,0.572477154234646
[11/05/2019 16:11:17]: 895162667,0.0371284312741498
[11/05/2019 16:11:17]: 145789374,0.812520422419776
[11/05/2019 16:11:17]: 188428761,0.850325614144246
[11/05/2019 16:11:17]: 1626305735,0.321097913347696
[11/05/2019 16:11:17]: 1124358002,0.824225623078749
[11/05/2019 16:11:17]: 1274109042,0.0345737235781614
[11/05/2019 16:11:17]: 1775708408,0.495750244937721
